CASENUM,VEH_NO,MONTH,HOUR,YEAR,DAY_WEEK,INJURY,REST_USENAME,HELMET,DRINKING,DRUGS,IMPAIRMENT
2.016E+11,1,1,17,2016,2,Injury,No Helmet,FALSE,FALSE,FALSE,None
2.016E+11,1,1,19,2016,1,Injury,Helmet,TRUE,TRUE,FALSE,"Drugs, Alcohol, or Medication"
2.016E+11,2,1,12,2016,7,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,2,1,3,2016,2,Injury,Helmet,TRUE,FALSE,FALSE,NaN
2.016E+11,1,1,16,2016,5,Injury,No Helmet,FALSE,FALSE,FALSE,None
2.016E+11,1,1,11,2016,2,Injury,Helmet,TRUE,FALSE,TRUE,None
2.016E+11,2,1,11,2016,1,No Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,2,11,2016,2,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,2,2,9,2016,5,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,1,13,2016,7,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,2,1,19,2016,7,Injury,No Helmet,FALSE,FALSE,FALSE,None
2.016E+11,1,1,7,2016,6,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,1,18,2016,3,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,1,12,2016,7,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,1,14,2016,6,Fatal Injury,No Helmet,FALSE,TRUE,FALSE,Other Physical Impairment
2.016E+11,2,1,13,2016,5,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,1,1,2016,1,Injury,No Helmet,FALSE,FALSE,FALSE,None
2.016E+11,1,2,16,2016,4,Injury,NaN,NaN,FALSE,FALSE,None
2.016E+11,2,2,10,2016,6,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,2,12,2016,7,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,2,16,2016,6,Injury,Helmet,TRUE,FALSE,FALSE,"Ill, Blackout"
2.016E+11,1,3,15,2016,7,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,2,2,13,2016,7,Injury,No Helmet,FALSE,FALSE,FALSE,None
2.016E+11,1,3,21,2016,7,Injury,No Helmet,FALSE,TRUE,TRUE,"Drugs, Alcohol, or Medication"
2.016E+11,1,2,11,2016,7,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,2,3,1,2016,1,Injury,Helmet,TRUE,NaN,NaN,NaN
2.016E+11,2,2,17,2016,7,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,2,17,2016,7,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,3,18,2016,6,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,1,17,2016,3,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,1,2,17,2016,4,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,2,1,19,2016,5,No Injury,No Helmet,FALSE,FALSE,FALSE,None
2.016E+11,1,1,19,2016,5,Injury,No Helmet,FALSE,FALSE,FALSE,None
2.016E+11,1,2,22,2016,2,Injury,NaN,NaN,FALSE,FALSE,NaN
2.016E+11,1,3,13,2016,6,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,2,2,15,2016,2,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,2,2,14,2016,3,Injury,Helmet,TRUE,FALSE,FALSE,None
2.016E+11,2,2,17,2016,1,Injury,NaN,NaN,FALSE,FALSE,None
2.016E+11,1,2,12,2016,2,Injury,No Helmet,FALSE,FALSE,FALSE,None
